,temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
2021-01-01 00:00:00,-0.63,91.2,0.0,0.0,0.0,264.84,0.72,42.0,99598.0
2021-01-01 01:00:00,-0.33,91.83,0.0,0.0,0.0,265.71,0.67,24.0,99569.0
2021-01-01 02:00:00,-0.03,92.46,0.0,0.0,0.0,266.58,0.63,23.0,99569.0
2021-01-01 03:00:00,0.27,93.08,0.0,0.0,0.0,267.45,0.58,28.0,99569.0
2021-01-01 04:00:00,0.57,93.71,0.0,0.0,0.0,268.32,0.54,42.0,99540.0
2021-01-01 05:00:00,0.86,94.34,0.0,0.0,0.0,269.19,0.49,64.0,99540.0
2021-01-01 06:00:00,1.16,94.97,0.0,0.0,0.0,270.07,0.45,62.0,99559.0
2021-01-01 07:00:00,1.46,95.6,0.0,0.0,0.0,270.94,0.4,99.0,99550.0
2021-01-01 08:00:00,1.15,90.4,65.0,64.82,56.0,260.2,0.14,39.0,99569.0
2021-01-01 09:00:00,2.48,88.7,109.0,23.58,103.0,280.6,0.34,111.0,99550.0
2021-01-01 10:00:00,4.21,77.45,97.0,0.0,97.0,262.4,0.69,104.0,99598.0
2021-01-01 11:00:00,5.71,71.9,122.0,2.69,121.0,266.4,0.69,102.0,99521.0
2021-01-01 12:00:00,6.63,69.5,144.0,10.95,140.0,275.2,0.69,91.0,99414.0
2021-01-01 13:00:00,7.03,68.8,77.0,0.0,77.0,274.2,0.76,84.0,99327.0
2021-01-01 14:00:00,7.15,69.1,168.0,364.76,86.0,273.0,0.9,69.0,99307.0
2021-01-01 15:00:00,6.87,70.9,60.0,249.36,35.0,299.2,1.17,49.0,99307.0
2021-01-01 16:00:00,5.73,77.0,0.0,0.0,0.0,287.8,1.38,40.0,99336.0
2021-01-01 17:00:00,4.71,82.0,0.0,0.0,0.0,287.6,1.38,37.0,99346.0
2021-01-01 18:00:00,3.7,87.05,0.0,0.0,0.0,278.0,1.24,36.0,99366.0
2021-01-01 19:00:00,2.82,91.6,0.0,0.0,0.0,292.2,0.97,29.0,99366.0
2021-01-01 20:00:00,2.71,92.35,0.0,0.0,0.0,305.0,0.83,35.0,99366.0
2021-01-01 21:00:00,2.61,93.5,0.0,0.0,0.0,307.2,0.62,29.0,99336.0
2021-01-01 22:00:00,2.63,93.35,0.0,0.0,0.0,312.4,0.41,9.0,99375.0
2021-01-01 23:00:00,2.67,92.35,0.0,0.0,0.0,315.8,0.28,354.0,99356.0
2021-01-02 00:00:00,2.62,92.2,0.0,0.0,0.0,319.2,0.41,5.0,99230.0
2021-01-02 01:00:00,2.61,92.1,0.0,0.0,0.0,320.05,0.48,6.0,99162.0
2021-01-02 02:00:00,2.48,93.1,0.0,0.0,0.0,317.8,0.69,4.0,99133.0
2021-01-02 03:00:00,2.33,95.8,0.0,0.0,0.0,319.0,0.62,359.0,99094.0
2021-01-02 04:00:00,2.19,96.75,0.0,0.0,0.0,318.4,0.62,351.0,99026.0
2021-01-02 05:00:00,2.06,97.4,0.0,0.0,0.0,316.6,0.41,332.0,98997.0
2021-01-02 06:00:00,1.93,98.05,0.0,0.0,0.0,317.8,0.21,302.0,98958.0
2021-01-02 07:00:00,1.35,97.85,0.0,0.0,0.0,318.4,0.48,344.0,98920.0
2021-01-02 08:00:00,1.49,97.25,96.0,330.7,50.0,318.0,0.62,333.0,98910.0
2021-01-02 09:00:00,1.59,97.9,0.0,0.0,0.0,316.4,0.62,330.0,98871.0
2021-01-02 10:00:00,1.65,98.6,53.0,0.0,53.0,317.6,0.48,337.0,98803.0
2021-01-02 11:00:00,1.7,99.1,60.0,0.0,60.0,316.4,0.62,354.0,98803.0
2021-01-02 12:00:00,2.02,98.4,58.0,0.0,58.0,318.4,0.9,360.0,98697.0
2021-01-02 13:00:00,2.15,97.75,132.0,15.77,127.0,317.2,0.97,15.0,98609.0
2021-01-02 14:00:00,2.28,95.5,71.0,4.41,70.0,313.6,0.97,19.0,98580.0
2021-01-02 15:00:00,2.3,94.05,22.0,0.0,22.0,316.6,1.17,19.0,98551.0
2021-01-02 16:00:00,1.94,95.05,0.0,0.0,0.0,311.8,1.03,18.0,98532.0
2021-01-02 17:00:00,1.52,96.9,0.0,0.0,0.0,308.2,0.83,359.0,98532.0
2021-01-02 18:00:00,1.17,98.75,0.0,0.0,0.0,304.8,0.76,2.0,98474.0
2021-01-02 19:00:00,0.78,99.3,0.0,0.0,0.0,303.8,0.28,339.0,98416.0
2021-01-02 20:00:00,0.69,99.35,0.0,0.0,0.0,307.8,0.21,353.0,98367.0
2021-01-02 21:00:00,0.39,99.35,0.0,0.0,0.0,291.4,0.21,54.0,98319.0
2021-01-02 22:00:00,0.13,99.4,0.0,0.0,0.0,289.8,0.28,69.0,98231.0
2021-01-02 23:00:00,-0.26,99.45,0.0,0.0,0.0,276.8,0.48,54.0,98193.0
2021-01-03 00:00:00,-0.55,99.15,0.0,0.0,0.0,278.2,0.55,53.0,98086.0
2021-01-03 01:00:00,-0.81,98.8,0.0,0.0,0.0,273.2,0.48,59.0,97979.0
2021-01-03 02:00:00,-0.92,98.5,0.0,0.0,0.0,276.8,0.55,74.0,97941.0
2021-01-03 03:00:00,-1.58,97.95,0.0,0.0,0.0,258.2,0.83,78.0,97970.0
2021-01-03 04:00:00,-1.98,97.35,0.0,0.0,0.0,255.6,0.76,80.0,97970.0
2021-01-03 05:00:00,-2.07,96.95,0.0,0.0,0.0,257.8,0.55,104.0,97970.0
2021-01-03 06:00:00,-2.73,96.95,0.0,0.0,0.0,255.2,0.55,128.0,97931.0
2021-01-03 07:00:00,-2.76,96.15,0.0,0.0,0.0,252.6,0.69,143.0,97912.0
2021-01-03 08:00:00,-1.9,96.35,56.0,28.68,52.0,249.2,0.55,118.0,97873.0
2021-01-03 09:00:00,0.67,95.2,91.0,7.82,89.0,251.4,0.41,97.0,97873.0
2021-01-03 10:00:00,3.0,89.65,83.0,0.0,83.0,246.4,0.41,62.0,97892.0
2021-01-03 11:00:00,4.79,83.95,135.0,5.34,133.0,253.0,1.1,64.0,97795.0
2021-01-03 12:00:00,5.86,79.9,101.0,0.0,101.0,264.8,1.59,64.0,97747.0
2021-01-03 13:00:00,6.06,78.6,70.0,0.0,70.0,280.2,1.86,57.0,97708.0
2021-01-03 14:00:00,5.84,79.5,73.0,4.36,72.0,286.4,2.07,52.0,97669.0
2021-01-03 15:00:00,5.02,83.95,29.0,0.0,29.0,279.2,2.07,46.0,97689.0
2021-01-03 16:00:00,3.83,90.1,0.0,0.0,0.0,289.0,2.21,44.0,97718.0
2021-01-03 17:00:00,3.09,93.95,0.0,0.0,0.0,305.0,2.14,36.0,97737.0
2021-01-03 18:00:00,2.68,95.45,0.0,0.0,0.0,312.0,2.14,38.0,97737.0
2021-01-03 19:00:00,1.51,93.1,0.0,0.0,0.0,311.8,1.72,37.0,97737.0
