,temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
2021-01-01 00:00:00,3.93,82.73,0.0,0.0,0.0,266.92,4.63,277.0,98139.0
2021-01-01 01:00:00,3.7,84.62,0.0,0.0,0.0,265.47,4.1,275.0,98168.0
2021-01-01 02:00:00,3.46,86.51,0.0,0.0,0.0,264.02,3.58,274.0,98149.0
2021-01-01 03:00:00,3.22,88.4,0.0,0.0,0.0,262.57,3.05,273.0,98130.0
2021-01-01 04:00:00,2.98,90.29,0.0,0.0,0.0,261.12,2.53,274.0,98120.0
2021-01-01 05:00:00,2.75,92.18,0.0,0.0,0.0,259.67,2.01,272.0,98139.0
2021-01-01 06:00:00,2.51,94.07,0.0,0.0,0.0,258.21,1.48,264.0,98187.0
2021-01-01 07:00:00,2.27,95.96,82.0,196.8,56.0,256.76,0.96,254.0,98216.0
2021-01-01 08:00:00,3.89,91.75,216.0,250.76,141.0,251.8,2.28,252.0,98264.0
2021-01-01 09:00:00,7.53,76.2,448.0,823.33,93.0,255.8,3.31,258.0,98264.0
2021-01-01 10:00:00,9.45,62.0,544.0,812.52,122.0,259.4,4.34,262.0,98226.0
2021-01-01 11:00:00,10.76,52.3,571.0,738.8,159.0,263.0,5.03,267.0,98159.0
2021-01-01 12:00:00,11.59,46.5,553.0,732.37,155.0,264.8,5.31,271.0,98072.0
2021-01-01 13:00:00,12.01,43.15,468.0,659.44,153.0,265.2,5.24,274.0,98044.0
2021-01-01 14:00:00,12.0,42.5,349.0,660.53,108.0,265.2,4.9,274.0,98005.0
2021-01-01 15:00:00,11.59,43.85,159.0,333.86,88.0,263.8,4.34,274.0,98034.0
2021-01-01 16:00:00,10.52,50.25,0.0,0.0,0.0,261.6,3.1,272.0,98034.0
2021-01-01 17:00:00,9.05,58.25,0.0,0.0,0.0,257.6,2.76,269.0,98044.0
2021-01-01 18:00:00,7.88,65.75,0.0,0.0,0.0,255.0,2.41,266.0,98111.0
2021-01-01 19:00:00,6.78,72.6,0.0,0.0,0.0,253.6,2.55,255.0,98130.0
2021-01-01 20:00:00,5.72,77.8,0.0,0.0,0.0,252.0,2.41,252.0,98139.0
2021-01-01 21:00:00,4.84,80.95,0.0,0.0,0.0,251.0,2.48,252.0,98178.0
2021-01-01 22:00:00,4.2,82.65,0.0,0.0,0.0,251.2,2.62,256.0,98197.0
2021-01-01 23:00:00,3.87,83.4,0.0,0.0,0.0,258.0,2.76,259.0,98187.0
2021-01-02 00:00:00,3.63,84.55,0.0,0.0,0.0,267.2,2.69,258.0,98130.0
2021-01-02 01:00:00,3.28,85.6,0.0,0.0,0.0,260.4,2.55,256.0,98120.0
2021-01-02 02:00:00,2.82,86.45,0.0,0.0,0.0,253.4,2.55,255.0,98092.0
2021-01-02 03:00:00,2.48,87.3,0.0,0.0,0.0,257.0,2.55,254.0,98082.0
2021-01-02 04:00:00,2.26,88.0,0.0,0.0,0.0,259.0,2.48,248.0,98044.0
2021-01-02 05:00:00,2.09,88.5,0.0,0.0,0.0,261.2,2.41,237.0,98024.0
2021-01-02 06:00:00,1.87,88.8,0.0,0.0,0.0,257.2,2.41,235.0,98082.0
2021-01-02 07:00:00,2.28,86.85,80.0,182.18,56.0,248.4,2.21,236.0,98101.0
2021-01-02 08:00:00,4.0,84.85,212.0,227.39,144.0,248.0,2.0,230.0,98149.0
2021-01-02 09:00:00,7.92,69.1,444.0,792.57,102.0,253.0,2.55,243.0,98139.0
2021-01-02 10:00:00,10.28,56.05,542.0,795.99,128.0,258.6,3.79,253.0,98120.0
2021-01-02 11:00:00,11.6,49.15,572.0,739.07,159.0,263.2,4.48,256.0,98034.0
2021-01-02 12:00:00,12.53,44.55,549.0,704.62,165.0,266.6,5.03,256.0,97948.0
2021-01-02 13:00:00,12.98,42.6,467.0,646.45,157.0,268.6,5.52,261.0,97900.0
2021-01-02 14:00:00,12.93,42.95,348.0,634.93,115.0,268.8,5.45,263.0,97890.0
2021-01-02 15:00:00,12.46,45.25,186.0,558.3,66.0,267.0,5.1,264.0,97890.0
2021-01-02 16:00:00,11.32,51.6,0.0,0.0,0.0,264.4,4.07,265.0,97948.0
2021-01-02 17:00:00,9.7,59.55,0.0,0.0,0.0,262.2,3.59,257.0,97977.0
2021-01-02 18:00:00,8.64,65.05,0.0,0.0,0.0,266.6,3.52,256.0,98024.0
2021-01-02 19:00:00,8.46,69.5,0.0,0.0,0.0,287.2,3.86,262.0,98044.0
2021-01-02 20:00:00,7.77,73.55,0.0,0.0,0.0,275.0,3.86,263.0,98082.0
2021-01-02 21:00:00,7.26,76.75,0.0,0.0,0.0,280.6,3.59,260.0,98082.0
2021-01-02 22:00:00,6.82,79.3,0.0,0.0,0.0,281.0,3.52,254.0,98111.0
2021-01-02 23:00:00,6.16,82.65,0.0,0.0,0.0,268.0,3.45,253.0,98092.0
2021-01-03 00:00:00,5.83,84.35,0.0,0.0,0.0,273.6,3.72,260.0,98111.0
2021-01-03 01:00:00,5.85,84.6,0.0,0.0,0.0,290.0,4.0,263.0,98139.0
2021-01-03 02:00:00,5.54,86.8,0.0,0.0,0.0,280.2,3.93,263.0,98120.0
2021-01-03 03:00:00,5.03,89.2,0.0,0.0,0.0,265.6,3.79,259.0,98130.0
2021-01-03 04:00:00,4.57,90.75,0.0,0.0,0.0,261.8,3.52,256.0,98101.0
2021-01-03 05:00:00,4.2,91.6,0.0,0.0,0.0,261.8,3.31,255.0,98120.0
2021-01-03 06:00:00,3.89,92.2,0.0,0.0,0.0,262.4,3.17,255.0,98178.0
2021-01-03 07:00:00,3.95,92.3,79.0,182.57,55.0,263.8,2.83,257.0,98216.0
2021-01-03 08:00:00,5.75,86.7,208.0,213.98,144.0,268.0,2.62,259.0,98283.0
2021-01-03 09:00:00,8.61,71.55,451.0,838.08,89.0,271.8,3.31,265.0,98331.0
2021-01-03 10:00:00,10.53,61.05,555.0,859.96,107.0,277.8,4.07,269.0,98312.0
2021-01-03 11:00:00,12.03,52.95,587.0,799.91,139.0,282.8,4.41,273.0,98264.0
2021-01-03 12:00:00,13.1,47.8,570.0,792.16,137.0,287.0,4.62,276.0,98178.0
2021-01-03 13:00:00,13.69,45.55,482.0,714.44,138.0,289.6,4.55,278.0,98111.0
2021-01-03 14:00:00,13.87,45.3,360.0,701.57,101.0,290.4,4.28,281.0,98130.0
2021-01-03 15:00:00,13.6,46.95,168.0,368.17,88.0,290.4,4.07,283.0,98130.0
2021-01-03 16:00:00,12.72,51.55,0.0,0.0,0.0,288.2,3.17,284.0,98139.0
2021-01-03 17:00:00,11.3,58.4,0.0,0.0,0.0,285.0,2.83,283.0,98178.0
2021-01-03 18:00:00,10.24,65.2,0.0,0.0,0.0,283.0,2.34,281.0,98245.0
2021-01-03 19:00:00,9.36,72.0,0.0,0.0,0.0,281.8,1.93,278.0,98283.0
2021-01-03 20:00:00,8.72,73.5,0.0,0.0,0.0,280.4,1.52,269.0,98312.0
2021-01-03 21:00:00,8.65,71.2,0.0,0.0,0.0,279.0,1.38,254.0,98302.0
2021-01-03 22:00:00,8.22,72.4,0.0,0.0,0.0,277.8,1.45,257.0,98312.0
2021-01-03 23:00:00,7.8,73.85,0.0,0.0,0.0,276.6,1.59,263.0,98302.0
