,temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
2021-01-01 00:00:00,3.92,96.95,0.0,0.0,0.0,315.13,2.12,217.0,98711.0
2021-01-01 01:00:00,3.94,97.46,0.0,0.0,0.0,315.8,1.89,222.0,98730.0
2021-01-01 02:00:00,3.97,97.98,0.0,0.0,0.0,316.46,1.66,207.0,98740.0
2021-01-01 03:00:00,3.99,98.49,0.0,0.0,0.0,317.12,1.43,187.0,98769.0
2021-01-01 04:00:00,4.02,99.0,0.0,0.0,0.0,317.78,1.2,171.0,98769.0
2021-01-01 05:00:00,4.04,99.51,0.0,0.0,0.0,318.44,0.97,159.0,98778.0
2021-01-01 06:00:00,4.07,100.0,0.0,0.0,0.0,319.11,0.74,141.0,98778.0
2021-01-01 07:00:00,4.09,100.0,0.0,0.0,0.0,319.77,0.51,132.0,98740.0
2021-01-01 08:00:00,5.04,97.8,36.0,57.19,31.0,320.4,1.93,130.0,98740.0
2021-01-01 09:00:00,5.2,98.25,108.0,99.77,88.0,314.6,1.79,126.0,98721.0
2021-01-01 10:00:00,5.5,94.25,157.0,96.42,130.0,320.0,1.93,116.0,98624.0
2021-01-01 11:00:00,6.53,88.3,249.0,342.98,139.0,312.2,1.72,99.0,98567.0
2021-01-01 12:00:00,7.26,83.5,295.0,634.83,92.0,300.2,2.07,95.0,98470.0
2021-01-01 13:00:00,8.05,76.15,217.0,378.75,112.0,298.0,2.97,101.0,98365.0
2021-01-01 14:00:00,8.31,73.25,153.0,433.66,68.0,279.4,2.97,107.0,98259.0
2021-01-01 15:00:00,7.92,75.35,38.0,110.25,29.0,278.2,2.62,113.0,98220.0
2021-01-01 16:00:00,7.1,79.2,0.0,0.0,0.0,286.6,2.69,110.0,98143.0
2021-01-01 17:00:00,6.59,82.4,0.0,0.0,0.0,288.8,2.83,112.0,98076.0
2021-01-01 18:00:00,6.18,84.45,0.0,0.0,0.0,282.4,2.9,118.0,98028.0
2021-01-01 19:00:00,5.76,86.55,0.0,0.0,0.0,283.6,3.1,127.0,97961.0
2021-01-01 20:00:00,5.46,87.1,0.0,0.0,0.0,285.8,3.17,130.0,97913.0
2021-01-01 21:00:00,5.23,87.95,0.0,0.0,0.0,287.4,2.69,133.0,97845.0
2021-01-01 22:00:00,5.06,88.0,0.0,0.0,0.0,291.6,2.48,123.0,97749.0
2021-01-01 23:00:00,4.78,88.25,0.0,0.0,0.0,285.6,2.28,120.0,97653.0
2021-01-02 00:00:00,4.61,88.0,0.0,0.0,0.0,288.8,2.34,124.0,97576.0
2021-01-02 01:00:00,4.65,88.1,0.0,0.0,0.0,296.6,2.55,128.0,97557.0
2021-01-02 02:00:00,4.68,88.7,0.0,0.0,0.0,298.2,2.69,132.0,97528.0
2021-01-02 03:00:00,5.19,88.65,0.0,0.0,0.0,319.6,2.69,139.0,97490.0
2021-01-02 04:00:00,5.44,91.0,0.0,0.0,0.0,328.4,2.55,144.0,97441.0
2021-01-02 05:00:00,5.67,92.0,0.0,0.0,0.0,328.6,2.48,147.0,97403.0
2021-01-02 06:00:00,5.91,92.65,0.0,0.0,0.0,329.2,2.41,149.0,97364.0
2021-01-02 07:00:00,6.34,91.75,0.0,0.0,0.0,335.4,2.48,161.0,97345.0
2021-01-02 08:00:00,6.51,92.35,47.0,159.56,33.0,338.2,2.28,168.0,97355.0
2021-01-02 09:00:00,6.83,93.1,0.0,0.0,0.0,339.8,2.07,170.0,97364.0
2021-01-02 10:00:00,7.36,93.75,60.0,0.0,60.0,333.4,2.07,171.0,97374.0
2021-01-02 11:00:00,7.88,94.25,63.0,0.0,63.0,329.4,2.14,184.0,97422.0
2021-01-02 12:00:00,8.28,94.95,86.0,0.0,86.0,322.8,2.14,199.0,97355.0
2021-01-02 13:00:00,8.58,94.5,51.0,0.0,51.0,316.6,2.48,212.0,97316.0
2021-01-02 14:00:00,8.31,92.2,111.0,121.17,87.0,321.2,3.1,223.0,97355.0
2021-01-02 15:00:00,8.17,93.6,21.0,0.0,21.0,322.4,2.83,217.0,97393.0
